,NEWSUID,SCID,PROP,CLAF,PRID,Drain,DrainNum,Layer,TopDep,BotDep,CFRAG,CFRAG_std,SDTO,SDTO_std,STPC,STPC_std,CLPC,CLPC_std,PSCL,BULK,BULK_std,TAWC,TAWC_std,ORGC,ORGC_std,TOTN,TOTN_std,CNrt,CNrt_std,CECS,CECS_std,CECc,CECc_std,ECEC,ECEC_std,TEB,TEB_std,BSAT,BSAT_std,ALSA,ALSA_std,ESP,ESP_std,PHAQ,PHAQ_std,TCEQ,TCEQ_std,GYPS,GYPS_std,ELCO,ELCO_std,clay,STPCw,SDTOw,clayw,ORGCw,theta1500t,theta1500,SMW,theta33t,theta33,SMFCF,SAR,log10-k,K0,SOPE,KSUB,center,code_soil
232993,WD30004598,3,10,"""PLd""","""PLd/C""","""I""",3,"""D1""",0,20,15,1.00E+01,51,2.30E+01,35,1.90E+01,14,9.00E+00,"""M""",1.45E+00,1.30E-01,18,5.00E+00,20.1299992,1.35E+01,1.40E+00,1.16E+00,1.70E+01,9.00E+00,12,8.00E+00,33,3.10E+01,3.00E+00,2.00E+00,2.00E+00,1.00E+00,18,1.80E+01,11,1.00E+01,2,1.00E+00,4.70E+00,7.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,14,0.35,0.51,0.14,0.020129999,0.091930675,0.084800969,0.084800969,0.230769736,0.197787598,0.197787598,2.246558284,0.160281329,1.446376408,135.709152,91.29524771,"[-89.23750036305, 33.21249964320311]",4598
765,WD30004599,2,30,"""ACg""","""ACg/C""","""I""",3,"""D1""",0,20,2,1.00E+00,57,2.50E+01,28,1.60E+01,15,1.30E+01,"""M""",1.53E+00,1.20E-01,18,7.00E+00,18.5100002,1.02E+01,1.14E+00,6.50E-01,1.80E+01,7.00E+00,7,3.00E+00,18,8.00E+00,5.00E+00,2.00E+00,4.00E+00,3.00E+00,51,3.50E+01,21,2.00E+01,1,0.00E+00,5.20E+00,8.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,15,0.28,0.57,0.15,0.01851,0.096311719,0.08979536,0.08979536,0.224017949,0.189621361,0.189621361,1.539051532,0.132610935,1.357097138,148.25472,99.73499345,"[-91.90416701905, 34.34583297200311]",4599
11123,WD30004599,1,60,"""ACf""","""ACf/C""","""W""",5,"""D1""",0,20,3,3.00E+00,50,2.30E+01,24,1.60E+01,26,1.60E+01,"""M""",1.52E+00,1.50E-01,13,4.00E+00,12.0900002,5.36E+00,9.50E-01,4.00E-01,1.40E+01,3.00E+00,7,4.00E+00,12,8.00E+00,4.00E+00,2.00E+00,2.00E+00,1.00E+00,43,2.60E+01,21,1.60E+01,1,1.00E+00,5.20E+00,5.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,26,0.24,0.5,0.26,0.01209,0.154521901,0.156154967,0.156154967,0.283044388,0.26497221,0.26497221,1.539051532,-0.369586888,0.426985485,130.503168,87.79304029,"[-91.90416701905, 34.34583297200311]",4599
232945,WD30004599,3,10,"""PLd""","""PLd/C""","""I""",3,"""D1""",0,20,15,1.00E+01,51,2.30E+01,35,1.90E+01,14,9.00E+00,"""M""",1.45E+00,1.30E-01,18,5.00E+00,20.1299992,1.35E+01,1.40E+00,1.16E+00,1.70E+01,9.00E+00,12,8.00E+00,33,3.10E+01,3.00E+00,2.00E+00,2.00E+00,1.00E+00,18,1.80E+01,11,1.00E+01,2,1.00E+00,4.70E+00,7.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,14,0.35,0.51,0.14,0.020129999,0.091930675,0.084800969,0.084800969,0.230769736,0.197787598,0.197787598,2.246558284,0.160281329,1.446376408,135.709152,91.29524771,"[-91.90416701905, 34.34583297200311]",4599
758,WD30004600,1,60,"""ACg""","""ACg/C""","""I""",3,"""D1""",0,20,2,1.00E+00,57,2.50E+01,28,1.60E+01,15,1.30E+01,"""M""",1.53E+00,1.20E-01,18,7.00E+00,18.5100002,1.02E+01,1.14E+00,6.50E-01,1.80E+01,7.00E+00,7,3.00E+00,18,8.00E+00,5.00E+00,2.00E+00,4.00E+00,3.00E+00,51,3.50E+01,21,2.00E+01,1,0.00E+00,5.20E+00,8.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,15,0.28,0.57,0.15,0.01851,0.096311719,0.08979536,0.08979536,0.224017949,0.189621361,0.189621361,1.539051532,0.132610935,1.357097138,148.25472,99.73499345,"[-81.84583372595, 31.61249964960311]",4600
240227,WD30004600,3,10,"""PTd""","""PTd/C""","""M""",4,"""D1""",0,20,21,1.90E+01,52,2.50E+01,27,1.70E+01,21,1.60E+01,"""M""",1.34E+00,2.70E-01,10,3.00E+00,9.39000034,4.90E+00,9.60E-01,5.60E-01,1.10E+01,4.00E+00,6,3.00E+00,15,1.10E+01,4.00E+00,3.00E+00,3.00E+00,2.00E+00,48,2.30E+01,33,2.90E+01,2,1.00E+00,5.20E+00,7.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,21,0.27,0.52,0.21,0.00939,0.128270719,0.12622862,0.12622862,0.258867746,0.233028259,0.233028259,2.246558284,-0.152124262,0.704491468,136.050528,91.52490065,"[-81.84583372595, 31.61249964960311]",4600
258174,WD30004600,2,30,"""RGd""","""RGd/C""","""S""",6,"""D1""",0,20,9,9.00E+00,54,2.60E+01,30,1.90E+01,16,1.10E+01,"""M""",1.58E+00,2.00E-01,17,8.00E+00,11.5900002,7.55E+00,9.40E-01,6.00E-01,1.20E+01,4.00E+00,12,7.00E+00,40,1.80E+01,1.00E+01,8.00E+00,8.00E+00,7.00E+00,61,3.00E+01,5,5.00E+00,2,1.00E+00,5.30E+00,5.00E-01,0.00E+00,0.00E+00,2.90E+01,3.40E+01,1,7.00E-01,16,0.3,0.54,0.16,0.01159,0.101911926,0.096179595,0.096179595,0.233827773,0.201524759,0.201524759,2.246558284,0.075041344,1.188615376,141.597888,95.25676102,"[-81.84583372595, 31.61249964960311]",4600
756,WD30004601,1,40,"""ACg""","""ACg/C""","""I""",3,"""D1""",0,20,2,1.00E+00,57,2.50E+01,28,1.60E+01,15,1.30E+01,"""M""",1.53E+00,1.20E-01,18,7.00E+00,18.5100002,1.02E+01,1.14E+00,6.50E-01,1.80E+01,7.00E+00,7,3.00E+00,18,8.00E+00,5.00E+00,2.00E+00,4.00E+00,3.00E+00,51,3.50E+01,21,2.00E+01,1,0.00E+00,5.20E+00,8.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,15,0.28,0.57,0.15,0.01851,0.096311719,0.08979536,0.08979536,0.224017949,0.189621361,0.189621361,1.539051532,0.132610935,1.357097138,148.25472,99.73499345,"[-79.19583373655, 33.94583297360311]",4601
4679,WD30004601,3,20,"""ACh""","""ACh/C""","""M""",4,"""D1""",0,20,8,8.00E+00,53,2.30E+01,28,1.60E+01,19,1.40E+01,"""M""",1.07E+00,4.40E-01,13,5.00E+00,13.2799997,6.38E+00,1.13E+00,4.50E-01,1.50E+01,5.00E+00,6,4.00E+00,12,6.00E+00,4.00E+00,2.00E+00,3.00E+00,3.00E+00,50,2.70E+01,11,9.00E+00,1,1.00E+00,5.20E+00,5.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,19,0.28,0.53,0.19,0.01328,0.11773967,0.114223224,0.114223224,0.248656584,0.219987036,0.219987036,1.539051532,-0.052552279,0.88602856,138.696192,93.30471098,"[-79.19583373655, 33.94583297360311]",4601
172088,WD30004601,5,10,"""LPq""","""LPq/C""","""E""",7,"""D1""",0,20,22,1.30E+01,51,2.20E+01,29,1.50E+01,20,1.30E+01,"""M""",1.37E+00,2.20E-01,19,5.00E+00,31.6299992,3.39E+01,1.50E+00,1.40E+00,1.20E+01,4.00E+00,16,1.00E+01,35,2.00E+01,2.00E+01,1.20E+01,1.00E+01,9.00E+00,64,4.00E+01,0,0.00E+00,3,2.00E+00,6.70E+00,1.30E+00,0.00E+00,0.00E+00,3.00E+00,6.00E+00,1,1.00E+00,20,0.29,0.51,0.2,0.031629999,0.123284198,0.120543986,0.120543986,0.256367916,0.229810859,0.229810859,2.968652804,-0.118392711,0.761390212,134.17296,90.26180945,"[-79.19583373655, 33.94583297360311]",4601
